time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav4_true_pos_x,uav5_true_pos_x,uav6_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y,uav4_true_pos_y,uav5_true_pos_y,uav6_true_pos_y
0.0,0.0,2.0,20.0,-20.0,-14.0,-10.0,0.0,-30.0,-15.0,8.0,8.0,-30.0
0.05,0.04724784731573689,1.9158529015192103,20.043636254015368,-20.126220647721183,-13.991666666666667,-10.054532449466025,-0.027266224733012684,-29.945969769413185,-14.963589921864651,8.081045345880222,8.0,-29.921253587807104
0.1,0.08654221035458429,1.8249231588366421,20.097792064277773,-20.262615261745037,-13.983333333333334,-10.15759408331098,-0.07879704165549077,-29.9875844530679,-14.963283835695282,8.01862332039815,8.0,-29.85576298274236
0.15000000000000002,0.11355732564799127,1.8108111580306554,20.167008435619408,-20.283783262954017,-13.975000000000001,-10.29783924744563,-0.14891962372281548,-30.086583702727943,-14.975905515322415,7.8701244459080835,8.0,-29.810737790586682
0.2,0.12531920431314075,1.8864914075614483,20.225288532721972,-20.170262888657827,-13.966666666666669,-10.459828897672848,-0.22991444883642487,-30.151948064814302,-14.962807605586322,7.772077902778542,8.0,-29.7911346594781
0.25,0.12053302691242197,1.982383835027762,20.240368973087655,-20.02642424745836,-13.958333333333336,-10.625730223964808,-0.3128651119824053,-30.123581846267978,-14.913070889701258,7.814627230598026,8.0,-29.79911162181263
0.30000000000000004,0.09972568508506485,2.0103253848476546,20.213741048994365,-19.98451192272852,-13.950000000000003,-10.777279795102421,-0.3886398975512121,-30.02756481760294,-14.849072677953604,7.95865277359558,8.0,-29.833790524858227
0.35000000000000003,0.06518777809757104,1.9446267249757756,20.18509276749036,-20.08305991253634,-13.94166666666667,-10.897794108725476,-0.44889705436273913,-29.95217459216861,-14.793393260844342,8.071738111747075,8.0,-29.891353703170715
0.4,0.02072144968691897,1.8456909003134374,20.190904691027132,-20.231463649529847,-13.933333333333337,-10.974006213164778,-0.48700310658239016,-29.966724595549472,-14.743202154118165,8.049913106675783,8.0,-29.9654642505218
0.45,-0.028778175143103303,1.8044790517892617,20.22390968864037,-20.29328142231611,-13.925000000000004,-10.997526214508088,-0.49876310725404577,-30.05783762173794,-14.684159237372333,7.913243567393081,8.0,-30.047963625238506
0.5,-0.07786187537865726,1.8588811628781987,20.241250625928608,-20.211678255682703,-13.916666666666671,-10.965764887362175,-0.4828824436810887,-30.141744774645584,-14.621235517907952,7.787382838031614,8.0,-30.12976979229776
0.55,-0.12112621752546905,1.958880183533269,20.211646662020453,-20.0616797247001,-13.908333333333339,-10.882218712597451,-0.4411093562987266,-30.14130220484678,-14.580940924127502,7.7880466927298215,8.0,-30.201877029209115
0.6000000000000001,-0.15380839856864964,2.0125374753333123,20.146277362299085,-19.981193787000034,-13.900000000000006,-10.756084963379463,-0.3780424816897326,-30.056916808973533,-14.57828039540014,7.9146247865396955,8.0,-30.25634733094775
0.65,-0.17231056441677656,1.970520771650648,20.08004342159601,-20.04421884252403,-13.891666666666673,-10.60124921316767,-0.3006246065838358,-29.966172130828514,-14.591384373874343,8.050741803757225,8.0,-30.28718427402796
0.7000000000000001,-0.17459588365370557,1.871460036081161,20.03064203717333,-20.192809945878263,-13.88333333333334,-10.43475672698468,-0.21737836349234174,-29.95249840900773,-14.581076809456363,8.0712523864884,8.0,-30.29099313942284
0.75,-0.16041277438054424,1.8064312520654493,19.986502770562588,-20.29035312190183,-13.875000000000007,-10.274936014540824,-0.13746800727041353,-30.028467200293612,-14.536416542378955,7.957299199559577,8.0,-30.267354623967574
0.8,-0.1313225998875857,1.8352215837319559,19.933792904179892,-20.24716762440207,-13.866666666666674,-10.139381115946227,-0.0696905579731152,-30.12423314832595,-14.491533926740477,7.813650277511069,8.0,-30.218870999812644
0.8500000000000001,-0.09052778424748906,1.9313613329199115,19.881937217418766,-20.102958000620138,-13.858333333333341,-10.043014742322175,-0.02150737116108946,-30.15174948213111,-14.491009610947197,7.7723757768033295,8.0,-30.150879640412484
0.9,-0.04251926991497076,2.0064600575970792,19.851709478724416,-19.990309913604385,-13.850000000000009,-9.996445492622353,0.0017772536888210344,-30.0857178113067,-14.542742861390137,7.871423283039942,8.0,-30.070865449858285
0.9500000000000001,0.007417872646460225,1.991472336630784,19.842408429251147,-20.01279149505383,-13.841666666666676,-10.004799994269382,-0.00239999713469336,-29.986847349488034,-14.61243742741759,8.019728975767942,8.0,-29.98763687892257
1.0,0.05378625779900899,1.9001778115580212,19.825168124341506,-20.14973328266297,-13.833333333333343,-10.067158532697919,-0.03357926634896169,-29.946039143306695,-14.663614564007645,8.08094128503995,8.0,-29.910356237001654
1.05,0.09148137051617422,1.8165122477044156,19.776785705621798,-20.27523162844338,-13.82500000000001,-10.17665629915105,-0.08832814957552745,-30.000812069329122,-14.69376684277883,7.99878189600631,8.0,-29.84753104913971
1.1,0.11635350257203005,1.8173973786334559,19.713840822312605,-20.27390393204982,-13.816666666666677,-10.321239110754185,-0.1606195553770946,-30.100808151968586,-14.725980904941213,7.848787772047115,8.0,-29.806077495713286
1.1500000000000001,0.1256645777665416,1.902019419050973,19.681759627028644,-20.146970871423544,-13.808333333333344,-10.484990408585247,-0.24249520429262572,-30.154091454001925,-14.772677526639646,7.768862818997105,8.0,-29.790559037055765
1.2000000000000002,0.11838957607611093,1.9925772552516352,19.70726218194663,-20.011134117122552,-13.800000000000011,-10.649883449689144,-0.32494172484457423,-30.111673553268226,-14.82062999548452,7.8324896700976545,8.0,-29.80268403987315
